DATE,CPALTT01CAM659N
1933-01-01,-7.6923070000000004
1933-02-01,-5.263158
1933-03-01,-6.578948
1933-04-01,-6.578948
1933-05-01,-4.054054
1933-06-01,-4.054054
1933-07-01,-4.054054
1933-08-01,-2.702703
1933-09-01,-2.702703
1933-10-01,-2.7397259999999997
1933-11-01,-2.7397259999999997
1933-12-01,-2.7397259999999997
1934-01-01,0.0
1934-02-01,0.0
1934-03-01,2.8169009999999997
1934-04-01,2.8169009999999997
1934-05-01,1.4084510000000001
1934-06-01,1.4084510000000001
1934-07-01,1.4084510000000001
1934-08-01,0.0
1934-09-01,0.0
1934-10-01,1.4084510000000001
1934-11-01,1.4084510000000001
1934-12-01,1.4084510000000001
1935-01-01,0.0
1935-02-01,0.0
1935-03-01,-1.3698629999999998
1935-04-01,-1.3698629999999998
1935-05-01,0.0
1935-06-01,0.0
1935-07-01,0.0
1935-08-01,0.0
1935-09-01,1.388889
1935-10-01,1.388889
1935-11-01,2.777778
1935-12-01,2.777778
1936-01-01,2.777778
1936-02-01,2.777778
1936-03-01,2.777778
1936-04-01,1.388889
1936-05-01,1.388889
1936-06-01,1.388889
1936-07-01,2.777778
1936-08-01,2.777778
1936-09-01,1.3698629999999998
1936-10-01,2.7397259999999997
1936-11-01,1.351351
1936-12-01,1.351351
1937-01-01,2.702703
1937-02-01,2.702703
1937-03-01,2.702703
1937-04-01,4.109589
1937-05-01,4.109589
1937-06-01,4.109589
1937-07-01,2.702703
1937-08-01,4.054054
1937-09-01,4.054054
1937-10-01,4.0
1937-11-01,4.0
1937-12-01,4.0
1938-01-01,1.3157889999999999
1938-02-01,1.3157889999999999
1938-03-01,2.631579
1938-04-01,2.631579
1938-05-01,1.3157889999999999
1938-06-01,1.3157889999999999
1938-07-01,2.631579
1938-08-01,1.298701
1938-09-01,0.0
1938-10-01,-2.564103
1938-11-01,-2.564103
1938-12-01,-2.564103
1939-01-01,-1.298701
1939-02-01,-1.298701
1939-03-01,-2.564103
1939-04-01,-2.564103
1939-05-01,-1.298701
1939-06-01,-1.298701
1939-07-01,-2.564103
1939-08-01,-2.564103
1939-09-01,-1.298701
1939-10-01,2.631579
1939-11-01,2.631579
1939-12-01,2.631579
1940-01-01,2.631579
1940-02-01,2.631579
1940-03-01,3.947368
1940-04-01,3.947368
1940-05-01,3.947368
1940-06-01,3.947368
1940-07-01,5.263158
1940-08-01,5.263158
1940-09-01,6.578948
1940-10-01,3.8461540000000003
1940-11-01,3.8461540000000003
1940-12-01,5.128205
1941-01-01,5.128205
1941-02-01,5.128205
1941-03-01,3.797468
1941-04-01,3.797468
1941-05-01,3.797468
1941-06-01,6.329114
1941-07-01,6.25
1941-08-01,7.5
1941-09-01,7.407407000000001
1941-10-01,7.407407000000001
1941-11-01,8.641975
1941-12-01,6.097561
1942-01-01,6.097561
1942-02-01,6.097561
1942-03-01,7.317073
1942-04-01,7.317073
1942-05-01,7.317073
1942-06-01,4.7619050000000005
1942-07-01,4.705883
1942-08-01,3.488372
1942-09-01,1.149425
1942-10-01,2.298851
1942-11-01,2.272727
1942-12-01,3.4482760000000003
1943-01-01,1.149425
1943-02-01,1.149425
1943-03-01,0.0
1943-04-01,2.272727
1943-05-01,2.272727
1943-06-01,2.272727
1943-07-01,2.247191
1943-08-01,2.247191
1943-09-01,4.5454550000000005
1943-10-01,3.370786
1943-11-01,2.222222
1943-12-01,2.222222
1944-01-01,3.4090910000000005
1944-02-01,3.4090910000000005
1944-03-01,3.4090910000000005
1944-04-01,1.111111
1944-05-01,1.111111
1944-06-01,1.111111
1944-07-01,0.0
1944-08-01,0.0
1944-09-01,-1.086957
1944-10-01,-1.086957
1944-11-01,-1.086957
1944-12-01,-2.173913
1945-01-01,-1.0989010000000001
1945-02-01,0.0
1945-03-01,0.0
1945-04-01,0.0
1945-05-01,0.0
1945-06-01,1.0989010000000001
1945-07-01,1.0989010000000001
1945-08-01,1.0989010000000001
1945-09-01,1.0989010000000001
1945-10-01,1.0989010000000001
1945-11-01,1.0989010000000001
1945-12-01,2.222222
1946-01-01,2.222222
1946-02-01,1.0989010000000001
1946-03-01,1.0989010000000001
1946-04-01,1.0989010000000001
1946-05-01,1.0989010000000001
1946-06-01,2.173913
1946-07-01,3.26087
1946-08-01,4.347826
1946-09-01,4.347826
1946-10-01,5.434783
1946-11-01,5.434783
1946-12-01,5.434783
1947-01-01,5.434783
1947-02-01,5.434783
1947-03-01,6.521739
1947-04-01,7.608696000000001
1947-05-01,9.782608999999999
1947-06-01,8.510638
1947-07-01,8.421053
1947-08-01,7.2916669999999995
1947-09-01,10.41667
1947-10-01,11.34021
1947-11-01,12.37113
1947-12-01,14.43299
1948-01-01,15.463920000000002
1948-02-01,17.52577
1948-03-01,16.326529999999998
1948-04-01,16.161620000000003
1948-05-01,14.85149
1948-06-01,15.68627
1948-07-01,14.56311
1948-08-01,15.53398
1948-09-01,14.15094
1948-10-01,12.03704
1948-11-01,11.00917
1948-12-01,9.009008999999999
1949-01-01,8.035714
1949-02-01,6.140351
1949-03-01,6.140351
1949-04-01,5.217391
1949-05-01,4.310345
1949-06-01,2.542373
1949-07-01,2.542373
1949-08-01,2.521008
1949-09-01,0.8264463
1949-10-01,1.652893
1949-11-01,1.652893
1949-12-01,0.8264463
1950-01-01,0.0
1950-02-01,0.8264463
1950-03-01,1.652893
1950-04-01,1.652893
1950-05-01,1.652893
1950-06-01,1.652893
1950-07-01,2.479339
1950-08-01,2.459016
1950-09-01,4.098361
1950-10-01,4.878049
1950-11-01,4.878049
1950-12-01,5.737705
1951-01-01,7.438016
1951-02-01,9.016394
1951-03-01,8.943089
1951-04-01,10.56911
1951-05-01,10.56911
1951-06-01,13.00813
1951-07-01,12.09677
1951-08-01,12.0
1951-09-01,11.02362
1951-10-01,10.07752
1951-11-01,10.85271
1951-12-01,10.85271
1952-01-01,10.76923
1952-02-01,7.518797
1952-03-01,5.970149
1952-04-01,4.411765
1952-05-01,3.676471
1952-06-01,1.438849
1952-07-01,1.438849
1952-08-01,0.7142857
1952-09-01,0.0
1952-10-01,-0.7042254
1952-11-01,-1.398601
1952-12-01,-1.398601
1953-01-01,-2.083333
1953-02-01,-2.097902
1953-03-01,-2.112676
1953-04-01,-2.112676
1953-05-01,-1.41844
1953-06-01,-1.41844
1953-07-01,-1.41844
1953-08-01,0.0
1953-09-01,0.0
1953-10-01,0.7092199
1953-11-01,0.0
1953-12-01,0.0
1954-01-01,0.0
1954-02-01,0.7142857
1954-03-01,0.7194245
1954-04-01,0.7194245
1954-05-01,0.7194245
1954-06-01,1.438849
1954-07-01,1.438849
1954-08-01,0.7092199
1954-09-01,0.7092199
1954-10-01,0.0
1954-11-01,0.7092199
1954-12-01,0.0
1955-01-01,0.0
1955-02-01,0.0
1955-03-01,0.7142857
1955-04-01,0.7142857
1955-05-01,0.7142857
1955-06-01,0.0
1955-07-01,0.0
1955-08-01,-0.7042254
1955-09-01,0.0
1955-10-01,0.0
1955-11-01,0.0
1955-12-01,0.7092199
1956-01-01,0.7092199
1956-02-01,0.0
1956-03-01,0.0
1956-04-01,0.0
1956-05-01,0.0
1956-06-01,1.41844
1956-07-01,2.1276599999999997
1956-08-01,2.836879
1956-09-01,1.4084510000000001
1956-10-01,2.112676
1956-11-01,2.8169009999999997
1956-12-01,2.8169009999999997
1957-01-01,2.8169009999999997
1957-02-01,3.546099
1957-03-01,3.546099
1957-04-01,4.255319
1957-05-01,4.255319
1957-06-01,3.4965040000000003
1957-07-01,2.777778
1957-08-01,2.7586209999999998
1957-09-01,4.1666669999999995
1957-10-01,3.4482760000000003
1957-11-01,2.7397259999999997
1957-12-01,2.054795
1958-01-01,2.7397259999999997
1958-02-01,2.7397259999999997
1958-03-01,3.424658
1958-04-01,2.721088
1958-05-01,2.721088
1958-06-01,2.027027
1958-07-01,2.027027
1958-08-01,1.342282
1958-09-01,2.0
1958-10-01,2.0
1958-11-01,2.0
1958-12-01,2.684564
1959-01-01,2.0
1959-02-01,2.0
1959-03-01,0.6622517
1959-04-01,0.6622517
1959-05-01,1.324503
1959-06-01,0.0
1959-07-01,1.324503
1959-08-01,1.324503
1959-09-01,1.30719
1959-10-01,1.30719
1959-11-01,1.30719
1959-12-01,1.30719
1960-01-01,1.30719
1960-02-01,1.30719
1960-03-01,1.3157889999999999
1960-04-01,1.973684
1960-05-01,1.30719
1960-06-01,2.649007
1960-07-01,1.30719
1960-08-01,1.30719
1960-09-01,0
1960-10-01,1.2903229999999999
1960-11-01,1.2903229999999999
1960-12-01,1.2903229999999999
1961-01-01,1.2903229999999999
1961-02-01,1.2903229999999999
1961-03-01,1.9480520000000001
1961-04-01,1.2903229999999999
1961-05-01,1.2903229999999999
1961-06-01,1.2903229999999999
1961-07-01,1.2903229999999999
1961-08-01,1.2903229999999999
1961-09-01,1.2903229999999999
1961-10-01,0
1961-11-01,0
1961-12-01,0
1962-01-01,0
1962-02-01,0
1962-03-01,0
1962-04-01,0.6369427
1962-05-01,0.6369427
1962-06-01,1.273885
1962-07-01,1.273885
1962-08-01,1.910828
1962-09-01,1.273885
1962-10-01,1.910828
1962-11-01,1.910828
1962-12-01,1.910828
1963-01-01,1.910828
1963-02-01,1.910828
1963-03-01,1.910828
1963-04-01,1.265823
1963-05-01,1.265823
1963-06-01,0.6289308000000001
1963-07-01,1.8867919999999998
1963-08-01,1.875
1963-09-01,1.8867919999999998
1963-10-01,1.25
1963-11-01,1.875
1963-12-01,1.875
1964-01-01,1.875
1964-02-01,1.875
1964-03-01,1.875
1964-04-01,2.5
1964-05-01,2.5
1964-06-01,2.5
1964-07-01,1.851852
1964-08-01,1.2269940000000001
1964-09-01,1.851852
1964-10-01,1.851852
1964-11-01,1.2269940000000001
1964-12-01,1.8404909999999999
1965-01-01,1.8404909999999999
1965-02-01,1.8404909999999999
1965-03-01,1.8404909999999999
1965-04-01,1.8292680000000001
1965-05-01,1.8292680000000001
1965-06-01,3.04878
1965-07-01,2.424242
1965-08-01,2.424242
1965-09-01,2.424242
1965-10-01,2.424242
1965-11-01,3.030303
1965-12-01,3.012048
1966-01-01,3.012048
1966-02-01,3.6144580000000004
1966-03-01,4.216867
1966-04-01,4.191617
1966-05-01,4.191617
1966-06-01,3.550296
1966-07-01,3.550296
1966-08-01,4.142012
1966-09-01,4.142012
1966-10-01,4.142012
1966-11-01,3.529412
1966-12-01,3.508772
1967-01-01,3.508772
1967-02-01,2.906977
1967-03-01,2.890173
1967-04-01,2.8735630000000003
1967-05-01,3.4482760000000003
1967-06-01,3.428571
1967-07-01,4.0
1967-08-01,3.9772730000000003
1967-09-01,3.9772730000000003
1967-10-01,3.9772730000000003
1967-11-01,3.9772730000000003
1967-12-01,3.9548019999999995
1968-01-01,4.519774
1968-02-01,4.519774
1968-03-01,4.494382
1968-04-01,3.910614
1968-05-01,3.333333
1968-06-01,3.314917
1968-07-01,3.8461540000000003
1968-08-01,3.8251370000000002
1968-09-01,3.8251370000000002
1968-10-01,3.8251370000000002
1968-11-01,4.918033
1968-12-01,4.347826
1969-01-01,3.783784
1969-02-01,3.783784
1969-03-01,3.7634410000000003
1969-04-01,5.3763440000000005
